file,elapsed_time,cpu_percent,gpu_percent,ram_percent,gpu_temperature,technique
ds10_0.1-privateSMOTE_QI0_knn3_per2,7.569744110107422,43.871428571428574,0.0,28.1,40.0,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI0_knn3_per3,8.642534732818604,47.325,0.0,28.1,40.0,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI0_knn5_per1,7.569474697113037,44.82857142857143,0.0,28.1,41.0,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI0_knn5_per2,7.542616367340088,46.55714285714286,0.0,28.1,41.0,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI0_knn5_per3,8.695989847183228,40.75,0.0,28.1,41.0,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI1_knn1_per1,7.598041296005249,44.771428571428565,0.0,28.1,41.0,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI1_knn1_per2,8.663265943527222,42.65,0.0,28.1,41.0,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI1_knn1_per3,9.751790285110474,42.644444444444446,0.0,28.1,41.0,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI1_knn3_per1,7.580523490905762,45.48571428571428,0.0,28.1,41.0,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI1_knn3_per2,7.6081883907318115,45.25714285714286,0.0,28.1,41.0,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI1_knn3_per3,8.675332307815552,45.75,0.0,28.1,41.0,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI1_knn5_per1,7.54887056350708,45.17142857142857,0.0,28.1,41.0,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI1_knn5_per2,8.647785186767578,43.5125,0.0,28.1,41.0,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI1_knn5_per3,8.653200626373291,46.575,0.0,28.1,41.0,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI2_knn1_per1,5.406538248062134,37.980000000000004,0.0,28.1,41.0,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI2_knn1_per2,6.48866868019104,42.083333333333336,0.0,28.100000000000005,41.0,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI2_knn1_per3,6.488036394119263,40.21666666666666,0.0,28.100000000000005,41.0,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI2_knn3_per1,5.409645080566406,38.38,0.0,28.1,41.0,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI2_knn3_per2,6.481919050216675,40.083333333333336,0.0,28.100000000000005,41.0,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI2_knn3_per3,6.500413656234741,43.46666666666667,0.0,28.100000000000005,41.0,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI2_knn5_per1,5.427454233169556,37.84,0.0,28.1,40.4,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI2_knn5_per2,6.49182391166687,40.38333333333333,0.0,28.100000000000005,40.166666666666664,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI2_knn5_per3,6.486814737319946,39.36666666666667,0.0,28.100000000000005,40.0,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI3_knn1_per1,6.012287139892578,40.06666666666666,0.0,14.300000000000002,,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI3_knn1_per2,7.014798164367676,36.471428571428575,0.0,14.3,,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI3_knn1_per3,7.013071775436401,34.714285714285715,0.0,14.3,,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI3_knn3_per1,6.010235548019409,35.550000000000004,0.0,14.300000000000002,,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI3_knn3_per2,7.013109445571899,35.67142857142857,0.0,14.3,,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI3_knn3_per3,8.016573905944824,34.325,0.0,14.3,,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI3_knn5_per1,7.011829376220703,35.22857142857143,0.0,14.3,,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI3_knn5_per2,7.019708156585693,33.0,0.0,14.3,,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI3_knn5_per3,8.016669034957886,32.6375,0.0,14.3,,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI4_knn1_per1,6.010993003845215,34.61666666666667,0.0,14.300000000000002,,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI4_knn1_per2,7.01277756690979,36.65714285714286,0.0,14.3,,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI4_knn1_per3,8.013278245925903,33.6125,0.0,14.3,,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI4_knn3_per1,6.012757062911987,36.7,0.0,14.300000000000002,,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI4_knn3_per2,7.015069007873535,39.785714285714285,0.0,14.3,,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI4_knn3_per3,8.01301884651184,32.025,0.0,14.3,,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI4_knn5_per1,6.011072635650635,35.76666666666667,0.0,14.300000000000002,,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI4_knn5_per2,7.015462398529053,31.542857142857144,0.0,14.3,,0.1-privateSMOTE
ds10_0.1-privateSMOTE_QI4_knn5_per3,8.017601728439331,37.2625,0.0,14.3,,0.1-privateSMOTE
ds10_0.5-privateSMOTE3_QI0_knn1_per1,6.312684059143066,33.03333333333334,0.0,1.8,26.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI0_knn1_per2,6.332690715789795,35.516666666666666,0.0,1.8,26.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI0_knn1_per3,7.383921146392822,32.128571428571426,0.0,1.8,26.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI0_knn3_per1,6.326786994934082,32.199999999999996,0.0,1.8,26.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI0_knn3_per2,6.319657564163208,35.13333333333333,0.0,1.8,26.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI0_knn3_per3,7.369024038314819,32.55714285714286,0.0,1.8,26.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI0_knn5_per1,6.345024824142456,35.699999999999996,0.0,1.8,26.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI0_knn5_per2,6.3299336433410645,33.75,0.0,1.8,26.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI0_knn5_per3,7.36318302154541,31.057142857142857,0.0,1.8,26.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI1_knn1_per1,6.340190649032593,37.43333333333334,0.0,1.8,25.666666666666668,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI1_knn1_per2,7.3596107959747314,30.75714285714286,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI1_knn1_per3,7.364253044128418,34.971428571428575,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI1_knn3_per1,6.288079500198364,32.416666666666664,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI1_knn3_per2,7.372969150543213,31.171428571428574,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI1_knn3_per3,7.373063802719116,33.15714285714286,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI1_knn5_per1,6.339937686920166,32.583333333333336,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI1_knn5_per2,7.371930360794067,31.271428571428572,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI1_knn5_per3,7.386885643005371,32.72857142857143,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI2_knn1_per1,5.282665967941284,35.46,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI2_knn1_per2,5.272742509841919,31.440000000000005,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI2_knn1_per3,6.281264066696167,31.016666666666666,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI2_knn3_per1,5.281112670898437,30.380000000000003,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI2_knn3_per2,5.259271860122681,30.360000000000003,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI2_knn3_per3,6.319506406784058,27.683333333333337,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI2_knn5_per1,5.28481912612915,29.360000000000003,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI2_knn5_per2,5.277054786682129,31.68,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI2_knn5_per3,6.33497166633606,27.766666666666666,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI3_knn1_per1,6.328314304351807,34.583333333333336,0.0,1.8,24.833333333333332,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI3_knn1_per2,7.401686906814575,32.42857142857143,0.0,1.8,24.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI3_knn1_per3,7.367867708206177,33.58571428571428,0.0,1.8,24.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI3_knn3_per1,6.330912113189697,35.25,0.0,1.8,24.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI3_knn3_per2,6.28702187538147,33.083333333333336,0.0,1.8,24.333333333333332,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI3_knn3_per3,7.35920524597168,32.714285714285715,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
ds10_0.5-privateSMOTE3_QI3_knn5_per1,6.346705913543701,35.21666666666667,0.0,1.8,25.0,$\epsilon$-2PrivateSMOTE
