ds,col,Correlation,Statistic Similarity (Mean),Statistic Similarity (Median),Statistic Similarity (Standard Deviation),Boundary Adherence,Range Coverage,Category Coverage
ds4_transf0_qi3.csv,att13,0.994756483979417,0.9983883340144818,0.9975151033623744,0.999634811172436,1.0,0.9956092591085702,
ds4_transf0_qi3.csv,att17,0.994756483979417,0.9986258793769628,1.0,0.9984994401258279,1.0,1.0,
ds4_transf0_qi3.csv,att18,0.994756483979417,,,,0.0,,
ds4_transf0_qi3.csv,att19,0.994756483979417,0.9184686883034539,0.9700835691025367,0.9878631701180444,0.445,0.8368431193900372,
ds4_transf0_qi3.csv,att23,0.994756483979417,0.998575145589978,0.9989300829524294,0.9977439078146887,1.0,0.9804198408667684,
ds4_transf0_qi3.csv,att24,0.994756483979417,0.9986467869737553,0.9984486394247646,0.9994355072182673,1.0,1.0,
ds4_transf0_qi3.csv,att27,0.994756483979417,0.9978579644752017,0.999276066717761,0.9991227682134503,1.0,1.0,
ds4_transf0_qi3.csv,att28,0.994756483979417,0.9996062272137236,0.9978137287065011,0.9995846595205198,1.0,1.0,
ds4_transf0_qi3.csv,att29,0.994756483979417,0.9272774121209391,0.9461296798491325,0.9896610150109275,0.536875,0.8044462055259183,
ds4_transf0_qi3.csv,att32,0.994756483979417,0.9983164185089765,0.999093248795856,0.9984735927221453,1.0,0.9979235041570585,
ds4_transf0_qi3.csv,att33,0.994756483979417,0.998960749236488,0.9949276753229831,0.9987019228956407,1.0,1.0,
ds4_transf0_qi3.csv,att36,0.994756483979417,0.8953646554442012,0.8548195061588928,0.9990511290039502,0.830625,0.8356936494786699,
ds4_transf0_qi3.csv,att37,0.994756483979417,0.9988773783908033,0.9995618921980554,0.9998527743223585,1.0,0.9997950073839177,
ds4_transf0_qi3.csv,att40,0.994756483979417,,,,0.0,,
ds4_transf0_qi3.csv,att42,0.994756483979417,0.999272539304831,1.0,0.9998220169704165,1.0,1.0,
ds4_transf0_qi3.csv,att43,0.994756483979417,0.9396707923645775,0.9062683165623264,0.9968707291232981,0.831875,0.7819410709660393,
ds4_transf0_qi3.csv,att45,0.994756483979417,0.9974163861879545,0.9954587778241836,0.9992401696565114,1.0,1.0,
ds4_transf0_qi3.csv,att47,0.994756483979417,0.9997635031574609,0.9983023695935629,0.9991461016177738,1.0,0.9925809052024306,
ds4_transf0_qi3.csv,binaryClass,0.994756483979417,0.9997635031574609,0.9983023695935629,0.9991461016177738,1.0,0.9925809052024306,0.0
