value,ci,ds_complete,technique,ds
0.0817372737816703,"(0.005621543598793896, 0.15785300396454688)",ds5_transf0_qi2.csv,PPT,ds5
0.0635120422104606,"(0.0, 0.13245643388806827)",ds10_transf2_qi0.csv,PPT,ds10
0.0232350566248323,"(0.012446720577716345, 0.0340233926719484)",ds68_transf1_qi4.csv,PPT,ds68
0.9949041555412677,"(0.989806630489675, 1.0)",ds16_transf0_qi2.csv,PPT,ds16
0.0172429504124673,"(0.0, 0.035461705493948815)",ds32_transf2_qi4.csv,PPT,ds32
0.0068734763625707,"(0.0, 0.023075130122241716)",ds32_transf2_qi0.csv,PPT,ds32
0.9942479479673552,"(0.9884902113029868, 1.0)",ds4_transf1_qi2.csv,PPT,ds4
0.1113763821716282,"(0.08608916863894892, 0.13666359570430747)",ds32_transf1_qi1.csv,PPT,ds32
0.0,"(0.0, 0.002711114264858369)",ds37_transf1_qi1.csv,PPT,ds37
0.0,"(0.0, 0.0032690502061361484)",ds8_transf0_qi3.csv,PPT,ds8
0.9990249712175364,"(0.998049930528853, 1.0)",ds50_transf1_qi0.csv,PPT,ds50
0.9990204961467644,"(0.9980409759452167, 1.0)",ds50_transf2_qi4.csv,PPT,ds50
0.9221394557100762,"(0.9077326539827627, 0.9365462574373896)",ds51_transf0_qi4.csv,PPT,ds51
0.9944952270001473,"(0.9889863791216986, 1.0)",ds4_transf0_qi4.csv,PPT,ds4
0.0474111768338566,"(0.0, 0.14843279515471944)",ds10_transf2_qi3.csv,PPT,ds10
0.99491763943898,"(0.9898336715458789, 1.0)",ds14_transf2_qi4.csv,PPT,ds14
0.11620168335261,"(0.07768602698461863, 0.15471733972060137)",ds24_transf0_qi2.csv,PPT,ds24
0.0064937452518623,"(0.0, 0.015627396383852767)",ds68_transf2_qi3.csv,PPT,ds68
0.0080467101924847,"(0.0, 0.025283026565797773)",ds32_transf0_qi4.csv,PPT,ds32
0.0790976278459171,"(0.011651560140847103, 0.14654369555098717)",ds24_transf1_qi0.csv,PPT,ds24
0.0032405239398067,"(0.0, 0.008207516776100005)",ds55_transf2_qi4.csv,PPT,ds55
0.9948769719578646,"(0.9897521145245363, 1.0)",ds14_transf1_qi3.csv,PPT,ds14
0.0,"(0.0, 0.0019293142895192117)",ds38_transf1_qi3.csv,PPT,ds38
0.9944794050828696,"(0.9889546359415176, 1.0)",ds4_bordersmote_knn3_per0.75_qi1.csv,BorderlineSMOTE,ds4
0.4012737734768016,"(0.3378378764025668, 0.4647096705510365)",ds4_under_per0.5_qi0.csv,RUS,ds4
0.0480515680180372,"(0.0, 0.13483525784527067)",ds10_under_per0.5_qi4.csv,RUS,ds10
0.0,"(0.0, 0.008652890132053068)",ds5_bordersmote_knn1_per0.75_qi4.csv,BorderlineSMOTE,ds5
0.0,"(0.0, 0.0029549269046152513)",ds55_bordersmote_knn5_per0.5_qi1.csv,BorderlineSMOTE,ds55
0.3677603595643827,"(0.3492604569912552, 0.3862602621375103)",ds55_bordersmote_knn3_per1_qi3.csv,BorderlineSMOTE,ds55
0.012856298956106,"(0.0052211322375392685, 0.020491465674672853)",ds68_bordersmote_knn1_per0.5_qi0.csv,BorderlineSMOTE,ds68
0.0020514488405735,"(0.0, 0.017127862018053264)",ds37_smote_knn3_per0.75_qi3.csv,SMOTE,ds37
0.1715580905809533,"(0.0, 0.3463663983280337)",ds2_under_per1_qi0.csv,RUS,ds2
0.0,"(0.0, 0.002711114264858369)",ds37_smote_knn3_per0.5_qi1.csv,SMOTE,ds37
0.0234961830747883,"(0.0, 0.06386626602134425)",ds5_smote_knn3_per1_qi3.csv,SMOTE,ds5
0.2973680857162122,"(0.23100648039005756, 0.36372969104236696)",ds16_under_per0.5_qi3.csv,RUS,ds16
