ds,col,Correlation,Statistic Similarity (Mean),Statistic Similarity (Median),Statistic Similarity (Standard Deviation),Boundary Adherence,Range Coverage,Category Coverage
ds2_smote_knn1_per0.75.csv,def,0.984609626718599,0.9326522010338243,0.8943466770742489,0.9823837660447077,1.0,1.0,1.0
ds37_bordersmote_knn3_per0.5.csv,code_number,0.9995070488337973,0.9979447725856698,1.0,0.9855476564473499,1.0,1.0,
ds37_bordersmote_knn3_per0.5.csv,account_length,0.9995070488337973,0.996233176282794,0.9958677685950413,0.9946323020509013,1.0,1.0,
ds37_bordersmote_knn3_per0.5.csv,area_code,0.9995070488337973,0.9904328721519757,1.0,0.9901382440904842,1.0,1.0,
ds37_bordersmote_knn3_per0.5.csv,number,0.9995070488337973,0.9999352674273172,0.9995999199839968,0.9959898451182655,1.0,1.0,
ds37_bordersmote_knn3_per0.5.csv,international_plan,0.9995070488337973,0.997495015576324,1.0,0.9964972674964374,1.0,1.0,
ds37_bordersmote_knn3_per0.5.csv,voice_plan,0.9995070488337973,0.9456803738317757,1.0,0.9663832907268802,1.0,1.0,
ds37_bordersmote_knn3_per0.5.csv,total_day_minutes,0.9995070488337973,0.9746836987047923,0.9790896159317212,0.9909357624539845,1.0,1.0,
ds37_bordersmote_knn3_per0.5.csv,total_day_calls,0.9995070488337973,0.9988341338619843,0.9939393939393939,0.9959186195408473,1.0,1.0,
ds37_bordersmote_knn3_per0.5.csv,total_eve_minutes,0.9995070488337973,0.9920245482869587,0.9923013472642287,0.9980955417053303,1.0,1.0,
ds37_bordersmote_knn3_per0.5.csv,total_eve_calls,0.9995070488337973,0.9997262415246473,1.0,0.9957761098391286,1.0,1.0,
ds37_bordersmote_knn3_per0.5.csv,total_night_minutes,0.9995070488337973,0.9970894533707421,0.993892982035497,0.9971547241647357,1.0,1.0,
ds37_bordersmote_knn3_per0.5.csv,total_night_calls,0.9995070488337973,0.9972719056519804,0.9942857142857143,0.9954490706953268,1.0,1.0,
ds37_bordersmote_knn3_per0.5.csv,total_intl_minutes,0.9995070488337973,0.9774678535825546,0.985,0.9952986830714211,1.0,1.0,
ds37_bordersmote_knn3_per0.5.csv,total_intl_calls,0.9995070488337973,0.9906231775700934,1.0,0.9947039538121438,1.0,0.95,
ds37_bordersmote_knn3_per0.5.csv,number_customer_service_calls,0.9995070488337973,0.9981951886465905,1.0,0.9980901267356317,1.0,1.0,
ds37_bordersmote_knn3_per0.5.csv,class,0.9995070488337973,0.8080666666666667,1.0,0.8770181241892896,1.0,1.0,
ds55_smote_knn3_per1.csv,id,0.9973846800333783,0.9963406644230745,0.9903375733855186,0.9991966054499268,1.0,1.0,
ds55_smote_knn3_per1.csv,start,0.9973846800333783,0.9564583426934716,0.9223713466631905,0.9875793477687955,1.0,1.0,
ds55_smote_knn3_per1.csv,end,0.9973846800333783,0.9744289030846289,0.9654552788787877,0.9985289529727134,1.0,1.0,
ds55_smote_knn3_per1.csv,event,0.9973846800333783,0.9323996116520703,1.0,0.9953692444547892,1.0,1.0,
ds55_smote_knn3_per1.csv,size,0.9973846800333783,0.9940563513253952,0.9976541012781104,0.992778297061062,1.0,1.0,
ds55_smote_knn3_per1.csv,code_number,0.9973846800333783,0.828594403345127,0.5,0.96970230746327,1.0,1.0,
